College Name	College ID	Accomodation for UG	Gender	Permanent	Type of mess	Mess Bill in Rs\Year	Room Rent Rs\Year	Electricy Charges	Caution Deposit	Establishment Charges Rs\Yr	Admission Fee	Transport Facility	Transport optional or compulsory	Min Transport charges	Max transport charges	Minority status
annai mira college of engineering and technology	1137	Engineering	Female	Yes	Veg/Non veg	36000	12000	2400	5000	--	--	Yes	Optional	7000	15000	No
da vinci school of design and architecture	1138	architecture	Male 	Yes	Veg/Non veg	60000		Dividing	5000	--	1000	Yes	Optional	12000	20000	$
da vinci school of design and architecture	1138	architecture	Female	Yes	Veg/Non veg	60000		Dividing	5000	--	1000	Yes	Optional	12000	20000	$
jeppiaar institute of technology	1140	Institute	Male 	Yes	Veg/Non veg	24000	24000	--	--	--	--	Yes	Optional	--	--	Yes
jeppiaar institute of technology	1140	Institute	Female	Yes	Veg/Non veg	24000	24000	--	--	--	--	Yes	Optional	--	--	Yes
r v s padhmavathy college of engineering and technology	1141	Engineering	Male 	Yes	Veg/Non veg	36000	24000	3000	5000	2500	500	Yes	Compulsory	2000	30000	No
r v s padhmavathy college of engineering and technology	1141	Engineering	Female	Yes	Veg/Non veg	36000	24000	3000	5000	2500	500	Yes	Compulsory	2000	30000	No
sri renugambal college of architecture	1142	architecture	Male 	Yes	Veg/Non veg	54000	9000	3000	3000	2500	1500	Yes	Optional	5000	7500	No
sri renugambal college of architecture	1142	architecture	Female	Yes	Veg/Non veg	54000	9000	3000	3000	2500	1500	Yes	Optional	5000	7500	No
kumaran institute of technology	1143	Institute	Male 	Yes	Veg/Non veg	30000	14400	2400	2500	1000	1200	Yes	Optional	12000	18000	No
kumaran institute of technology	1143	Institute	Female	Yes	Veg/Non veg	30000	14400	2400	2500	1000	1200	Yes	Optional	12000	18000	No
rvs padmavathy school of architecture	1144	architecture	Male 	Yes	Veg/Non veg	36000	24000	3000	10000	2500	500	Yes	Compulsory	5000	35000	No
rvs padmavathy school of architecture	1144	architecture	Female	Yes	Veg/Non veg	36000	24000	3000	10000	2500	500	Yes	Compulsory	5000	35000	No
anand school of architecture	1145	architecture	Male 	Yes	Veg/Non veg	27000	12000	6000	--	12000	2000	Yes	Compulsory	26000	26000	No
anand school of architecture	1145	architecture	Female	Yes	Veg/Non veg	27000	12000	6000	--	12000	2000	Yes	Compulsory	26000	26000	No
misirimal navajee munoth jain school of architecture	1146	architecture	Male 	Yes	Veg/Non veg	36000	12000	6000	5000	3500	500	Yes	Optional	17000	17000	No
misirimal navajee munoth jain school of architecture	1146	architecture	Female	Yes	Veg/Non veg	36000	12000	6000	5000	3500	500	Yes	Optional	17000	17000	No
st. Joesph's insitute of technology	1149	Institute	Male 	Yes	Veg/Non veg	24000	14400	--	--	--	--	Yes	Optional	--	18000	Yes
st. Joesph's insitute of technology	1149	Institute	Female	Yes	Veg/Non veg	24000	14400	--	--	--	--	Yes	Optional	--	18000	Yes
Arignar Anna Institute of Science and Technology	1201	Institute	Male 	Yes	Veg/Non veg	dividing	18000	3000	--	--	--	Yes	Optional	15000	19500	No
Arignar Anna Institute of Science and Technology	1201	Institute	Female	Yes	Veg/Non veg	dividing	18000	3000	--	--	--	Yes	Optional	15000	19500	No
D M I College of Engineering	1202	Engineering	Male 	Yes	Veg/Non veg	39000	20000	--	`--	--	--	Yes	Optional	15000	25000	$
D M I College of Engineering	1202	Engineering	Female	Yes	Veg/Non veg	39000	20000	--	`--	--	--	Yes	Optional	15000	25000	$
Kalsar College of Engineering	1204	Engineering	Male 	Yes	Veg/Non veg	28800	7200	2400	5000	--	1000	Yes	Optional	--	18000	$
Kalsar College of Engineering	1204	Engineering	Female	Yes	Veg/Non veg	28800	7200	2400	5000	--	1000	Yes	Optional	--	18000	$
Lord Venkateshwarr engineering college	1205	Engineering	Male 	Yes	Veg/Non veg	30000	12000	3300	2000	200	500	Yes	Optional	5000	28000	No
Lord Venkateshwarr engineering college	1205	Engineering	Female	Yes	Veg/Non veg	30000	12000	3300	2000	200	500	Yes	Optional	5000	28000	No
Maamallan Institute of Technology	1206	Engineering	Male 	Yes	Veg/Non veg	24000	10800	1800	--	--	1000	Yes	Optional	12000	14000	No
Maamallan Institute of Technology	1206	Engineering	Female	Yes	Veg/Non veg	24000	10800	1800	--	--	1000	Yes	Optional	12000	14000	No
Kings engineeing college	1207	Engineering	Male 	Yes	Veg/Non veg	18000	18000	3600	--	--	--	Yes	Optional	18000	20000	$
Kings engineeing college	1207	Engineering	Female	Yes	Veg/Non veg	18000	18000	3600	--	--	--	Yes	Optional	18000	20000	$
kanchi pallavan engineering college	1208	Engineering	Male 	Yes	Veg/Non veg	40000	6000	1200	--	--	1000	Yes	Optional	4000	12000	No
kanchi pallavan engineering college	1208	Engineering	Female	Yes	Veg/Non veg	40000	6000	1200	--	--	1000	Yes	Optional	4000	12000	No
pallavan college of engineering	1209	Engineering	Male 	Yes	Veg/Non veg	36000	6000	3000	--	--	1000	Yes	Optional	4000	8000	No
pallavan college of engineering	1209	Engineering	Female	Yes	Veg/Non veg	36000	6000	3000	--	--	1000	Yes	Optional	4000	8000	No
panimalar engineering college	1210	Engineering	Male 	Yes	Veg/Non veg	50000	--	--	--	--	--	Yes	Optional	--	--	Yes
panimalar engineering college	1210	Engineering	Female	Yes	Veg/Non veg	50000	--	--	--	--	--	Yes	Optional	--	--	Yes
rajalakshmi engineering college	1211	Engineering	Male 	Yes	Veg/Non veg	27000	23004	--	--	--	1000	Yes	Optional	27000	27000	Yes
rajalakshmi engineering college	1211	Engineering	Female	Yes	Veg/Non veg	27000	23004	--	--	--	1000	Yes	Optional	27000	27000	Yes
rajiv gandhi college of engineering	1212	Engineering	Male 	Yes	Veg/Non veg	25000	17000	3000	5000	--	--	Yes	Optional	6000	25000	$
rajiv gandhi college of engineering	1212	Engineering	Female	Yes	Veg/Non veg	25000	17000	3000	5000	--	--	Yes	Optional	6000	25000	$
S K R engineering college	1213	Engineering	Male 	Yes	Veg/Non veg	32000	12000	6000	2000	--	1000	Yes	Optional	10000	20000	$
S K R engineering college	1213	Engineering	Female	Yes	Veg/Non veg	32000	12000	6000	2000	--	1000	Yes	Optional	10000	20000	$
sakthi mariamman engineering college	1214	Engineering	Male 	Yes	Veg/Non veg	24000	21600	3600	--	800	--	Yes	Optional	9000	18000	No
sakthi mariamman engineering college	1214	Engineering	Female	Yes	Veg/Non veg	24000	21600	3600	--	800	--	Yes	Optional	9000	18000	No
saveetha engineering college	1216	Engineering	Male 	Yes	Veg/Non veg	36000	24000	6000	5000	5000	500	Yes	Optional	27000	27000	No
saveetha engineering college	1216	Engineering	Female	Yes	Veg/Non veg	36000	24000	6000	5000	5000	500	Yes	Optional	27000	27000	No
sree sastha institute of engineering and technology	1217	Engineering	Male 	Yes	Veg/Non veg	44400	27600	4800	3000	1500	1000	Yes	Optional	24000	24000	$
sree sastha institute of engineering and technology	1217	Engineering	Female	Yes	Veg/Non veg	44400	27600	4800	3000	1500	1000	Yes	Optional	24000	24000	$
sree muthukumaran institute of technology	1218	Institute	Male 	Yes	Veg/Non veg	DIVIDING	24000	3600	7500	1000	500	Yes	Compulsory	7000	25000	$
sree muthukumaran institute of technology	1218	Institute	Female	Yes	Veg/Non veg	DIVIDING	24000	3600	7500	1000	500	Yes	Compulsory	7000	25000	$
sri venkateswara college of engineering   	1219	Engineering	Male 	Yes	Veg/Non veg	30000	--	--	15000	30000	--	Yes	Optional	30000	30000	Yes
sri venkateswara college of engineering   	1219	Engineering	Female	Yes	Veg/Non veg	30000	--	--	15000	30000	--	Yes	Optional	30000	30000	Yes
srinivasa institute of engineering and technology	1221	Engineering	Male 	Yes	Veg/Non veg	30000	12000	3000	--	5000	--	Yes	Optional	15000	25000	No
srinivasa institute of engineering and technology	1221	Engineering	Female	Yes	Veg/Non veg	30000	12000	3000	--	5000	--	Yes	Optional	15000	25000	No
p b college of engineering	1222	Engineering	Male 	Yes	Veg/Non veg	27804	16800	5400	--	--	3000	Yes	Compulsory	23000	23000	$
p b college of engineering	1222	Engineering	Female	Yes	Veg/Non veg	27804	16800	5400	--	--	3000	Yes	Compulsory	23000	23000	$
loyala institute of technology	1225	Institute	Male 	Yes	Veg/Non veg	39000	15000	--	--	--	--	Yes	Optional	15000	25000	$
loyala institute of technology	1225	Institute	Female	Yes	Veg/Non veg	39000	15000	--	--	--	--	Yes	Optional	15000	25000	$
p t lee chengalvaraya naicker college of engineering and technology	1226	Engineering	Male 	Yes	Veg/Non veg	24000	6000	--	5000	--	--	Yes	Optional	5000	15000	No
p t lee chengalvaraya naicker college of engineering and technology	1226	Engineering	Female	Yes	Veg/Non veg	24000	6000	--	5000	--	--	Yes	Optional	5000	15000	No
alpha college of engineering	1228	Engineering	Male 	Yes	Veg/Non veg	18000	20000	--	3000	--	--	Yes	Optional	12000	20000	No
alpha college of engineering	1228	Engineering	Female	Yes	Veg/Non veg	18000	20000	--	3000	--	--	Yes	Optional	12000	20000	No
indira institute of engineering and technology	1229	Engineering	Male 	Yes	Veg/Non veg	18000	15000	3300	--	2500	1000	Yes	Optional	5500	18000	No
indira institute of engineering and technology	1229	Engineering	Female	Yes	Veg/Non veg	18000	15000	3300	--	2500	1000	Yes	Optional	5500	18000	No
apollo engineering college	1230	Engineering	Male 	Yes	Veg/Non veg	45600	13200	1200	5000	---	200	Yes	Optional	--	22000	No
apollo engineering college	1230	Engineering	Female	Yes	Veg/Non veg	45600	13200	1200	5000	---	200	Yes	Optional	--	22000	No
panimalar instituteof technology	1231	Institute	Male 	Yes	Veg/Non veg	50000	-	-	-	-	-	Yes	Optional	--	-	Yes
panimalar instituteof technology	1231	Institute	Female	Yes	Veg/Non veg	50000	-	-	-	-	-	Yes	Optional	--	-	Yes
arm college of engineering and technology	1232	Engineering	Male 	Yes	Veg/Non veg	19200	10200	3000	-	1000	500	Yes	Optional	6000	9500	No
arm college of engineering and technology	1232	Engineering	Female	Yes	Veg/Non veg	19200	10200	3000	-	1000	500	Yes	Optional	6000	9500	No
adhi college of enginering and technology	1233	Engineering	Male 	Yes	Veg/Non veg	30000	18000	-	-	-	-	Yes	Optional	5000	20000	No
adhi college of enginering and technology	1233	Engineering	Female	Yes	Veg/Non veg	30000	18000	-	-	-	-	Yes	Optional	5000	20000	No
indira gandhi college of engineering and technology for women	1234	Engineering	Female	Yes	Veg/Non veg	27000	14400	3600	5000	5000	500	Yes	Optional	8000	25000	No
jei mathaajee college of engineering	1235	Engineering	Male 	Yes	Veg/Non veg	31200	7800	1200	5000	1000	1000	Yes	Compulsory	2500	18000	No
jei mathaajee college of engineering	1235	Engineering	Female	Yes	Veg/Non veg	31200	7800	1200	5000	1000	1000	Yes	Compulsory	2500	18000	No
velammal institute of technology	1237	Institute	Male 	Yes	Veg/Non veg	45000	21000	6000	2000	4000	2000	Yes	Compulsory	7500	25000	No
velammal institute of technology	1237	Institute	Female	Yes	Veg/Non veg	45000	21000	6000	2000	4000	2000	Yes	Compulsory	7500	25000	No
grt institute of engineering and technology	1238	Engineering	Male 	Yes	Veg/Non veg	42000	7200	6000	5000	3000	1000	Yes	Optional	7000	24000	No
grt institute of engineering and technology	1238	Engineering	Female	Yes	Veg/Non veg	42000	7200	6000	5000	3000	1000	Yes	Optional	7000	24000	No
t.j.s engineering college	1241	Engineering	Male 	Yes	Veg/Non veg	36000	15600	7200	4000	-	-	Yes	Optional	6000	17000	No
t.j.s engineering college	1241	Engineering	Female	Yes	Veg/Non veg	36000	15600	7200	4000	-	-	Yes	Optional	6000	17000	No
Sree sastha college of engineering	1242	Engineering	Male 	Yes	Veg/Non veg	44400	27600	4800	3000	1500	1000	Yes	Optional	27000	27000	No
Sree sastha college of engineering	1242	Engineering	Female	Yes	Veg/Non veg	44400	27600	4800	3000	1500	1000	Yes	Optional	27000	27000	No
madha institute of engineering and technology	1243	Engineering	Male 	Yes	Veg/Non veg	36000	18000	6000	-	1000	500	Yes	Optional	10000	19000	$
madha institute of engineering and technology	1243	Engineering	Female	Yes	Veg/Non veg	36000	18000	6000	-	1000	500	Yes	Optional	10000	19000	$
john bosco engineering college	1245	Engineering	Male 	no	-	-	-	-	-	-	-	Yes	Optional	5000	20000	No
john bosco engineering college	1245	Engineering	Female	no	-	-	-	-	-	-	-	Yes	Optional	5000	20000	No
Mohammad Sathak A.J.College of Engg	1301	Engineering	Male 	Yes	Veg/Non veg	33000	20000	4000	-	3000	-	Yes	Compulsory	17000	27000	$
Mohammad Sathak A.J.College of Engg	1301	Engineering	Female	Yes	Veg/Non veg	33000	20000	4000	-	3000	-	Yes	Compulsory	17000	27000	$
Anan Institute of Higher Technology	1303	Institute	Male 	Yes	Veg	27000	12000	6000	-	12000	2000	Yes	Compulsory	26000	26000	No
Anan Institute of Higher Technology	1303	Engineering	Female	Yes	Veg	27000	12000	6000	-	12000	2000	Yes	Compulsory	26000	26000	No
Easwari Engineering college	1304	Engineering	Male 	Yes	Veg/Non veg	48000	33000	7000	-	10000	3000	Yes	Optional	20000	24000	Yes
Easwari Engineering college	1304	Engineering	Female	Yes	Veg/Non veg	48000	33000	7000	-	10000	3000	Yes	Optional	20000	24000	Yes
jeppiaar Engg college	1306	Engineering	Male 	Yes	Veg/Non veg	20400	20400	-	-	-	-	Yes	Optional	-	-	Yes
jeppiaar Engg college	1306	Engineering	Female	Yes	Veg/Non veg	20400	20400	-	-	-	-	Yes	Optional	-	-	Yes
Jerusalem College of Engg	1307	Engineering	Male 	Yes	Veg/Non veg	40000	35000	-	5000	-	500	Yes	Compulsory	20000	30000	No
Jerusalem College of Engg	1307	Engineering	Female	Yes	Veg/Non veg	40000	35000	-	5000	-	500	Yes	Compulsory	20000	30000	No
Measi Academy of Architecture	1308	Engineering	Male 	Yes	Veg/Non veg	19200	13200	3000	3000	8000	1000	No	-	-	-	$
Measi Academy of Architecture	1308	Engineering	Female	no	-	-	-	-	-	-	-	-	-	-	-	-
Meenakshi Sundararajan Engg College	1309	Engineering	Male 	Yes	Veg	18000	6500	-	5000	-	700	No	-	-	-	No
Meenakshi Sundararajan Engg College	1309	Engineering	Female	no	-	-	-	-	-	-	-	-	-	-	-	-
Misrimal Navajee Munoth Jain Engg College	1310	Engineering	Male 	Yes	Veg	36000	12000	6000	5000	3500	500	Yes	Optional	17000	17000	$
Misrimal Navajee Munoth Jain Engg College	1310	Engineering	Female	Yes	Veg	36000	12000	6000	5000	3500	500	Yes	Optional	17000	17000	$
K.C.G. College of Tech	1311	Engineering	Male 	Yes	Veg/Non veg	33000	48700	-	-	1500	-	Yes	Optional	18000	19500	$
K.C.G. College of Tech	1311	Engineering	Female	Yes	Veg/Non veg	33000	48700	-	-	1500	-	Yes	Optional	18000	19500	$
Shree Motilal Kanhaiyalal Fomra Institute of Tech	1313	Institute	Male 	Yes	Veg	36000	32400	-	5000	5000	3000	Yes	Compulsory	28000	28000	$
Shree Motilal Kanhaiyalal Fomra Institute of Tech	1313	Institute	Female	Yes	Veg	36000	32400	-	5000	5000	3000	Yes	Compulsory	28000	28000	$
Sri Sivasubramaniya Nadar college of Engg	1315	Engineering	Male 	Yes	Veg/Non veg	28440	42000	-	7500	-	15000	Yes	Optional	35000	-	No
Sri Sivasubramaniya Nadar college of Engg	1315	Engineering	Female	Yes	Veg/Non veg	28440	42000	-	7500	-	15000	Yes	Optional	35000	-	No
AGNI College of Tech	1316	Engineering	Male 	Yes	Veg/Non veg	33600	15600	-	-	8800	-	Yes	Compulsory	16000	28000	No
AGNI College of Tech	1316	Engineering	Female	Yes	Veg/Non veg	33600	15600	-	-	8800	-	Yes	Compulsory	16000	28000	No
St.Joseph's College of Engg	1317	Engineering	Male 	Yes	Veg/Non veg	24000	14400	-	-	-	-	Yes	Optional	-	18000	Yes
St.Joseph's College of Engg	1317	Engineering	Female	Yes	Veg/Non veg	24000	14400	-	-	-	-	Yes	Optional	-	18000	Yes
T.J.Institute of Tech	1318	Institute	Male 	Yes	Veg/Non veg	60000		dividing	5000	-	1000	Yes	Optional	12000	20000	$
T.J.Institute of Tech	1318	Engineering	Female	Yes	Veg/Non veg	60000		dividing	5000	-	1000	Yes	Optional	12000	20000	$
Thangavelu Engg college	1319	Engineering	Male 	Yes	Veg/Non veg	60000		dividing	5000	-	1000	Yes	Optional	12000	20000	No
Thangavelu Engg college	1319	Engineering	Female	Yes	Veg/Non veg	60000		dividing	5000	-	1000	Yes	Optional	12000	20000	No
S.R.R.Engineering College	1320	Engineering	Male 	Yes	Veg/Non veg	48000	18000	2400	-	-	-	Yes	Optional	-	20000	No
S.R.R.Engineering College	1320	Engineering	Female	Yes	Veg/Non veg	48000	18000	2400	-	-	-	Yes	Optional	-	20000	No
Central Institute of Plastics Engg and Tech	1321	Institute	Male 	Yes	Veg/Non veg	21600	8000	4000	1000	-	500	No	-	-	-	No
Central Institute of Plastics Engg and Tech	1321	Institute	Female	Yes	Veg/Non veg	21600	8000	4000	1000	-	500	No	-	-	-	No
